Job Name,Count
"['maréchal', 'aven.druey 30. at']",1
['mathilde'],1
['maître charpentier'],1
['maître gymn.'],1
['maîtresse de pension'],1
"['md fripier,']",1
['menuiserie'],1
['menuiserie-ébéniste-rie'],1
['menuisier-ébéniste'],1
['meun'],1
['mineur'],1
"['ministre', ', pension pourjeunes garçons']",1
['missionnaire'],1
"['modiste', ', 2.']",1
"['modiste', 'm. a.']",1
"['mont, en chauff']",1
"['mont, téléph']",1
"['mont, électr']",1
"['mont,']",1
['monte caro'],1
['monteur mécanicien'],1
['monteur t. l.'],1
['mouleur'],1
['musicienne'],1
['méc.'],1
['méc.-électr.'],1
"['mécan cff,']",1
['mécan'],1
"['mécan. c. f. f.,ch']",1
['mécan. cee.'],1
['mécan. chauff'],1
"['mécan., tricot']",1
"['mécan.-électricien,']",1
['mécan.-êlectr.'],1
['mécan.. cff'],1
['mécan.. monte caro'],1
['mécan..'],1
['mécanic en'],1
"['mécanic. cff.,rue']",1
"['mécaniciengff,']",1
"['méd.-dentiste,quart']",1
['ména-gore'],1
['ménag'],1
['ménag.'],1
['ménagère.'],1
['métr.-vérificat.'],1
['nettoyeur'],1
['ni. charpentier'],1
['nickeleur'],1
['notaire (étude'],1
['nun'],1
['nég'],1
"['négoc. entabacs,']",1
['négoc.'],1
['négociant en cuirs'],1
"['négociant', 'tapis linoléum']",1
"['organiste', 'repos-cottage']",1
['ouv. camp'],1
['ouv. chocolatière'],1
['ouv. de fabr'],1
['ouv. de fati'],1
['ouv. photograveur'],1
"['ouvr. de ville,retr']",1
['ouvr. d’usine'],1
['ouvr. fahr'],1
"['ouvr. fahr.,quart']",1
['ouvrier de ville'],1
['ouvrier fabrique'],1
['ouvrière'],1
"['palefrenier,']",1
"['papierspeints,']",1
['pasteur(mission intérieure'],1
['peintre bât.'],1
['peintre en lettres'],1
['peintre en voitures'],1
"['peintre encarrosserie,']",1
['peintre envoitures'],1
['peintre-décorat.'],1
['pension de demoiselles'],1
['pension et garde-malade'],1
"['pensionde jeunes gens', '. —']",1
['phntogr.'],1
['photogr'],1
['pianiste'],1
['pierristc'],1
['pionnier'],1
['piqucuse'],1
['piqueur'],1
"['plàtrier', '-peinlre']",1
['polisseur de pianos'],1
['polisseur'],1
"['primeurs,']",1
['prof'],1
"['prof, de chant.av']",1
"['prof, de gym']",1
"['prof, de mus']",1
"['prof, de musique']",1
"['profess, de langues', ', dessin,modelage et calligraphie']",1
"['profess, de sciencesphysiques et naturelles']",1
"['profess,retraité']",1
"['profess., camp.grande borde']",1
['professeur de dessin'],1
['professeur de gymnastique'],1
['professeur de langues'],1
['professeur d’escrime'],1
"['professeur, pension de jeunes gens']",1
"['professeur, pensionde jeunes gens']",1
"['professeur,']",1
"['professeur,rédacteur du chrétien évangélique']",1
['propriét'],1
"['propriétaire,']",1
['préparateur'],1
['quart'],1
['r. des jardins'],1
['ramoneur'],1
['raém'],1
['remmaillage de bas. atet'],1
['remmailleuse'],1
['remouleur'],1
['renseignements'],1
"['rentier', 'veuve', 'couturière', 'dame', 'épicerie, mercerie']",1
['repass.'],1
"['repr', '.']",1
['représ'],1
['représent.carba s'],1
"['représentant,']",1
"['représentantassur..', 'téléphone 22 0212']",1
['restaurateur cantine des casernes'],1
['restaurateur'],1
['retr'],1
"['retraité cff,']",1
"['retraité cff.,av']",1
['retraité post'],1
['retraité post.. lapastourelle'],1
['retraité postal'],1
['retraité ptt.'],1
['retraité s. i.'],1
['retraité s.i.'],1
['revendeur'],1
"['revendeuse,']",1
"['ro-sine-albertine', 'rentière']",1
['rose mousse'],1
"['réparateur', 'deverres']",1
['rêpar. de bijouterie'],1
['sage-femme'],1
['scmmeü’ère'],1
['sculpteur'],1
['sculpture et décoration'],1
['secrét. dirdes ecoles'],1
"['secrét. greffemunicipal,']",1
['secrét. trib.de district'],1
['secrét.'],1
"['secrét.-comptable,']",1
['secrét..'],1
['secrétaiire'],1
['secrétaire au bureau du<-timbre'],1
['secrétaire e.m.l.'],1
['secrétaire en chef dudép. militaire'],1
['seorét. département militaire'],1
"['serg.-maj. sap.-pompiers,']",1
"['serg.-major,', 'garde-frontières']",1
['serr. t.'],1
['serrur'],1
['serrur.'],1
"['serrur.,']",1
"['serrurier s. i.,av']",1
"['serrurier-appa', '-reilleur']",1
['serveuse'],1
['sommeli&re'],1
['soudeur'],1
['sous-chef deservice b. c. v.'],1
"['sous-direct. union vaudoise du crédit,']",1
['sténo-dactvlo'],1
['stêno-dact'],1
['surv.'],1
['sœur charité'],1
['sœur visitante'],1
['taill.'],1
['taillandier'],1
['tailleuse'],1
"['tanneur', ',commerce de cuirs (bureau et tannerie']",1
['techn. cff'],1
['techn. radio'],1
['techn.-électric..'],1
['teinturier'],1
"['ti-tommas ini charles,', 'menuisier']",1
['tils'],1
"['tissusgros et détail', 'draperie, étoffes (magasin']",1
"['travail,']",1
['tricot à la machine'],1
['tripier'],1
['typograp'],1
"['typographe', 'chalet suisse']",1
['télégraphiste'],1
['téléphon'],1
['tôlier'],1
['v. maria'],1
['va beau-crêt'],1
['val fleuri'],1
['valet dechambre'],1
['vendeur de journaux'],1
['vendeuse de journaux'],1
"['veuve', 'journalière']",1
"['veuve', 'modiste']",1
"['veuve', 'ménag']",1
"['veuve', 'ménagère']",1
"['veuve', 'pens,p. jeunes gens']",1
"['veuve', 'pension pour jeunes demoiselles']",1
"['veuve', 'rent']",1
"['vigneron', 'm. floury']",1
['voiturier'],1
['voyageur'],1
"['vve', 'bon-neterie-laines,', 'l’ale 10.t.']",1
"['vve', 'concierge']",1
"['vve', 'couturière']",1
"['vve', 'giletière']",1
"['vve', 'march,d’œufs']",1
"['vve', 'mercerie-bonneterie']",1
"['vve', 'ménagère']",1
"['vve', 'épicerie']",1
['vêtements detravail'],1
"['é ri c-em i 1 e,appareilleur']",1
['école particul'],1
['école particul< folriana >'],1
['écrivain'],1
"['éditeur,']",1
['électr'],1
['électr.-techn..'],1
['électric'],1
['électricien autos'],1
['électricien s.'],1
"['électricien surautos,']",1
['électro-mécan .'],1
['électro-technic.'],1
['éléctricien'],1
"['épicerie', 'confiserie']",1
['équipementélectr.'],1
"['étudiant', 'mais. barraud']",1
['étudiante'],1
['êlectr.'],1
['êtud..'],1
